#: table_doi: 10.17182/hepdata.26965.v1/t7
#: name: Table 7
#: description: Differential cross section DSIG/DT for photon energy 2.17 to 2.27 GeV.

#: data_file: Table7.yaml
#: keyword reactions: GAMMA DEUT --> PHI DEUT
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: E(P=1) [GEV],,,2.17 TO 2.27
#: RE,,,GAMMA DEUT --> PHI DEUT
#: T-TMIN [GEV**2],T-TMIN [GEV**2] LOW,T-TMIN [GEV**2] HIGH,D(SIG)/D(T-TMIN) [MUB/GEV**2],total +,total -,stat +,stat -
-0.01,-0.02,0.0,0.98,0.11,-0.11,0.07,-0.07
-0.03,-0.04,-0.02,0.71,0.11,-0.11,0.06,-0.06
-0.05,-0.06,-0.04,0.52,0.12,-0.12,0.06,-0.06
-0.07,-0.08,-0.06,0.39,0.09,-0.09,0.05,-0.05
-0.09,-0.1,-0.08,0.24,0.08,-0.08,0.04,-0.04
-0.11,-0.12,-0.1,0.26,0.06,-0.06,0.04,-0.04
-0.13,-0.14,-0.12,0.24,0.05,-0.05,0.04,-0.04
-0.15000000000000002,-0.16,-0.14,0.13,0.06,-0.06,0.04,-0.04
-0.16999999999999998,-0.18,-0.16,0.1,0.05,-0.05,0.04,-0.04
-0.19,-0.2,-0.18,0.1,0.04,-0.04,0.03,-0.03
-0.21000000000000002,-0.22,-0.2,0.08,0.03,-0.03,0.03,-0.03
-0.22999999999999998,-0.24,-0.22,0.07,0.04,-0.04,0.03,-0.03

