CLAS physics database search results
Measurement E32M2
g10 CLAS experiment
Wei Chen
0

theta	sqrt(s)	s7dsigma/dt	Data errors	Systematic errors
deg	GeV	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2	10^7 GeV14 nb/GeV2
50	2.74178	17.6619	2.43667	0.4576
50	2.69982	14.1586	1.90728	0.27231
50	2.65465	12.7864	1.69372	0.20638
50	2.61032	12.6655	1.65539	0.17428
50	2.56311	11.4773	1.48257	0.13885
50	2.51981	9.70023	1.24332	0.13294
50	2.48857	9.03487	1.14987	0.10973
50	2.45426	7.34943	0.9283	0.0829
50	2.41905	6.40641	0.8036	0.06703
50	2.38339	5.62454	0.7002	0.05543
50	2.34726	4.78582	0.59112	0.04453
50	2.31009	4.254	0.52138	0.03706
50	2.26116	4.45468	0.5408	0.04002
50	2.23036	4.2991	0.51842	0.03691
50	2.19917	4.45733	0.53416	0.03668
50	2.16787	4.91308	0.58507	0.03866
50	2.1352	5.13686	0.60791	0.03874
50	2.10574	5.60778	0.65993	0.04032
50	2.07106	5.97474	0.69908	0.04116
50	2.03701	5.98251	0.69639	0.03944
50	2.00302	6.59362	0.76394	0.04158
50	1.97328	6.8496	0.79116	0.04983
50	1.94838	7.21795	0.83143	0.05094
50	1.9237	7.49636	0.86143	0.05134
50	1.89739	7.79409	0.89367	0.05204
50	1.87181	8.08943	0.92579	0.05226
50	1.84598	7.97238	0.91101	0.05041
50	1.81971	7.71049	0.87997	0.04732
50	1.79262	7.687	0.87642	0.04576
50	1.76512	7.53647	0.85867	0.04357
50	1.73766	7.11482	0.81034	0.04007
50	1.70933	6.45092	0.7347	0.03518
50	1.68294	5.57374	0.63499	0.02971
55	2.74178	11.4866	1.58141	0.2755
55	2.69982	9.77441	1.31516	0.17372
55	2.65465	9.14825	1.21044	0.13546
55	2.61032	8.86473	1.15751	0.112
55	2.56311	7.90133	1.01987	0.08883
55	2.51981	6.50886	0.8334	0.08316
55	2.48857	6.24898	0.7947	0.07059
55	2.45426	5.0438	0.63676	0.05303
55	2.41905	4.30875	0.53997	0.04244
55	2.38339	3.78519	0.47084	0.03486
55	2.34726	3.41276	0.42133	0.02975
55	2.31009	3.13442	0.38379	0.02555
55	2.26116	3.62153	0.43916	0.03071
55	2.23036	3.82307	0.46076	0.0309
55	2.19917	4.05361	0.48539	0.03138
55	2.16787	4.43155	0.52743	0.03278
55	2.1352	4.66856	0.55217	0.03288
55	2.10574	5.12491	0.60287	0.03462
55	2.07106	5.38071	0.62941	0.03478
55	2.03701	5.29426	0.61604	0.03277
55	2.00302	5.69443	0.65958	0.03385
55	1.97328	5.68571	0.65651	0.03874
55	1.94838	5.83257	0.67166	0.03865
55	1.9237	6.13281	0.70457	0.0397
55	1.89739	6.06161	0.69486	0.03796
55	1.87181	6.19561	0.70892	0.03777
55	1.84598	6.16364	0.7042	0.03697
55	1.81971	6.16529	0.70351	0.03573
55	1.79262	6.13551	0.69942	0.03468
55	1.76512	6.00243	0.68379	0.03299
55	1.73766	5.60182	0.63794	0.03012
55	1.70933	5.13232	0.58446	0.02681
55	1.68294	4.56111	0.51958	0.02324
60	2.74178	6.57986	0.9049	0.15298
60	2.69982	6.22895	0.83787	0.1093
60	2.65465	5.94022	0.78597	0.08771
60	2.61032	6.06541	0.79203	0.0768
60	2.56311	5.53129	0.71384	0.06217
60	2.51981	5.02059	0.6428	0.06424
60	2.48857	4.39814	0.55899	0.04929
60	2.45426	3.87014	0.48839	0.0405
60	2.41905	3.27087	0.40966	0.03183
60	2.38339	3.13142	0.3894	0.0287
60	2.34726	3.05311	0.37693	0.02649
60	2.31009	3.13206	0.38355	0.02532
60	2.26116	3.65348	0.4431	0.03063
60	2.23036	4.04236	0.48726	0.03258
60	2.19917	4.3884	0.5257	0.03394
60	2.16787	4.56835	0.54376	0.03359
