CLAS physics database search results
Measurement E161M73
g13
Paul Mattione
2006

cos(theta_pi)	dsigma/dOmega	Data errors	Systematic errors	Full errors
	mcb	mcb	mcb	mcb
-0.67	0.4767	0.0115543628809	0.0629483653355	0.0653480807615
-0.65	0.4238	0.0107988559542	0.0559677113171	0.0582745453628
-0.61	0.4071	0.00937002437043	0.0550076598602	0.0568784566669
-0.58	0.3517	0.00815344611529	0.0369101790357	0.0390790745083
-0.55	0.3986	0.00891156500138	0.0554889539388	0.0572667661907
-0.53	0.4095	0.00856097560976	0.0671565313027	0.0685839194675
-0.49	0.437	0.0101755132699	0.0437317839757	0.0464851002361
-0.46	0.4269	0.00883015832482	0.0576274093115	0.059520482389
-0.43	0.3946	0.00618767537827	0.0524361771434	0.053904391456
-0.41	0.3969	0.0060512932208	0.0303016806523	0.0327349516391
-0.38	0.4102	0.00602286313582	0.0343763744401	0.0365196173324
-0.34	0.4185	0.00620792838875	0.04477166096	0.0467082327428
-0.31	0.4232	0.00617965760322	0.0415428914726	0.043604579395
-0.28	0.4394	0.00636350470673	0.0317689440783	0.0344363975929
-0.26	0.4465	0.00644193472091	0.0316510896661	0.0346970643229
-0.22	0.4568	0.00631084503799	0.0252224747974	0.0289016791964
-0.2	0.4396	0.00597311084625	0.0282759959474	0.031114032533
-0.17	0.4484	0.00605804798509	0.0250786772899	0.0286834178275
-0.14	0.4583	0.00624954545455	0.0333189612925	0.0361308354948
-0.1	0.4831	0.00665197934596	0.039443011685	0.0422204882998
-0.07	0.4732	0.00632869984652	0.0311638822718	0.0341502568557
-0.04	0.4656	0.00601175422974	0.0321426322986	0.0349856632792
-0.02	0.4771	0.00569826275787	0.040400121306	0.0429656112882
0.02	0.5053	0.00569614675138	0.0414100701785	0.043914793095
0.04	0.506	0.00549099099099	0.0238767463851	0.027957997834
0.07	0.5298	0.0055975738603	0.0217925943127	0.026774143811
0.1	0.5566	0.00580872158032	0.0249322833612	0.0299573836548
0.14	0.5986	0.00612405063291	0.0446822784093	0.0480606097504
0.17	0.6296	0.00602488038278	0.0332586953498	0.0381350881541
0.2	0.6839	0.00613316613467	0.0280370161245	0.0342608344919
0.23	0.771	0.00676133297356	0.0436797936856	0.0488513115222
0.26	0.834	0.00749475786321	0.0384768580392	0.0453991159147
0.28	0.9178	0.00853961193691	0.0468277164505	0.0537629923275
0.31	1.0077	0.00927363250956	0.0687776107471	0.0745004023621
0.34	1.1025	0.00906935514372	0.0646671230014	0.0719584218469
0.38	1.2541	0.00917685015799	0.0458914525939	0.0580905113998
0.41	1.3813	0.00897151272562	0.0479682390693	0.061577843092
0.44	1.5642	0.00918398718975	0.0511825593274	0.0673416750101
0.46	1.6928	0.00929134751773	0.0605917557206	0.076600857831
0.49	1.8467	0.00950399841647	0.0605587649651	0.0791884159569
0.52	2.0339	0.0101350200349	0.0648123550636	0.0858484860617
0.55	2.2551	0.0107659466976	0.104547139567	0.121856790615
0.58	2.4649	0.0114004370518	0.104580447671	0.124690746105
0.61	2.5985	0.0116182026907	0.0984166010703	0.122010778755
0.65	2.8062	0.0121544022104	0.103690069471	0.129421456582
0.68	3.0019	0.01248300311	0.125882582724	0.150655188287
0.71	3.2195	0.0128166481759	0.105020824266	0.137771392845
0.73	3.4623	0.0133626724609	0.0999103547421	0.13830398448
0.76	3.7047	0.0143307127823	0.115917516671	0.154515939038
0.79	3.9639	0.0163466317246	0.18979735939	0.217744145746
0.82	4.1356	0.0210805430328	0.211853771988	0.242702758315
0.85	4.3711	0.0339929024954	0.236671275359	0.266778435322
