# Column 1: counter ID
# Column 2: Photon energy (PrimEx setting)
# Column 3: plus error
# Column 4: minus error (same magnitude as plus error)
1  11.332854   3.939385  -3.939385   
2  11.323297   3.886759  -3.886759   
3  11.312983   3.831811  -3.831811   
4  11.302536   3.778013  -3.778013   
5  11.291308   3.722171  -3.722171   
6  11.279979   3.667798  -3.667798   
7  11.267754   3.611237  -3.611237   
8  11.255429   3.556318  -3.556318   
9  11.242123   3.499262  -3.499262   
10  11.228697   3.443922  -3.443922   
11  11.214231   3.386654  -3.386654   
12  11.199642   3.331242  -3.331242   
13  11.183923   3.274005  -3.274005   
14  11.168071   3.218727  -3.218727   
15  11.151006   3.161789  -3.161789   
16  11.133830   3.107006  -3.107006   
17  11.115362   3.050743  -3.050743   
18  11.096772   2.996697  -2.996697   
19  11.076814   2.941369  -2.941369   
20  11.056705   2.888262  -2.888262   
21  11.035153   2.834079  -2.834079   
22  11.013422   2.782114  -2.782114   
23  10.993002   2.735562  -2.735562   
24  10.975375   2.697042  -2.697042   
25  10.956451   2.657302  -2.657302   
26  10.937769   2.619619  -2.619619   
27  10.917712   2.580780  -2.580780   
28  10.897910   2.543982  -2.543982   
29  10.876653   2.506092  -2.506092   
30  10.855706   2.470296  -2.470296   
31  10.831977   2.431478  -2.431478   
32  10.811100   2.398760  -2.398760   
33  10.786055   2.361171  -2.361171   
34  10.764011   2.329500  -2.329500   
35  10.737556   2.293127  -2.293127   
36  10.712706   2.260488  -2.260488   
37  10.686373   2.227416  -2.227416   
38  10.660159   2.195944  -2.195944   
39  10.632358   2.164050  -2.164050   
40  10.604713   2.133754  -2.133754   
41  10.580949   2.108775  -2.108775   
42  10.563133   2.090660  -2.090660   
43  10.543983   2.071748  -2.071748   
44  10.525573   2.054089  -2.054089   
45  10.505799   2.035671  -2.035671   
46  10.486817   2.018504  -2.018504   
47  10.466413   2.000588  -2.000588   
48  10.446825   1.983889  -1.983889   
49  10.425763   1.966462  -1.966462   
50  10.405562   1.950238  -1.950238   
51  10.383843   1.933309  -1.933309   
52  10.362989   1.917535  -1.917535   
53  10.340571   1.901081  -1.901081   
54  10.319077   1.885775  -1.885775   
55  10.295964   1.869808  -1.869808   
56  10.273784   1.854944  -1.854944   
57  10.249955   1.839455  -1.839455   
58  10.227103   1.825048  -1.825048   
59  10.202560   1.810042  -1.810042   
60  10.179032   1.796091  -1.796091   
61  10.153761   1.781561  -1.781561   
62  10.129535   1.768054  -1.768054   
63  10.103501   1.753981  -1.753981   
64  10.078547   1.740904  -1.740904   
65  10.057509   1.730179  -1.730179   
66  10.034086   1.718549  -1.718549   
67  10.015300   1.709449  -1.709449   
68  9.991195   1.698061  -1.698061   
69  9.972080   1.689253  -1.689253   
70  9.947265   1.678101  -1.678101   
71  9.927837   1.669585  -1.669585   
72  9.902318   1.658676  -1.658676   
73  9.882562   1.650440  -1.650440   
74  9.856331   1.639776  -1.639776   
75  9.836321   1.631843  -1.631843   
76  9.813128   1.622859  -1.622859   
77  9.789127   1.613792  -1.613792   
78  9.765438   1.605064  -1.605064   
79  9.740900   1.596248  -1.596248   
80  9.716715   1.587774  -1.587774   
81  9.691818   1.579267  -1.579267   
82  9.671432   1.572459  -1.572459   
83  9.655973   1.567389  -1.567389   
84  9.639919   1.562205  -1.562205   
85  9.623807   1.557084  -1.557084   
86  9.608376   1.552256  -1.552256   
87  9.592581   1.547388  -1.547388   
88  9.576099   1.542388  -1.542388   
89  9.559381   1.537397  -1.537397   
90  9.542454   1.532424  -1.532424   
91  9.526070   1.527687  -1.527687   
92  9.510149   1.523154  -1.523154   
93  9.493228   1.518409  -1.518409   
94  9.475615   1.513550  -1.513550   
95  9.458458   1.508892  -1.508892   
96  9.441426   1.504341  -1.504341   
97  9.424616   1.499918  -1.499918   
98  9.407538   1.495494  -1.495494   
99  9.389400   1.490869  -1.490869   
100  9.371318   1.486334  -1.486334   
101  9.354115   1.482086  -1.482086   
102  9.336749   1.477863  -1.477863   
103  9.315260   1.472727  -1.472727   
104  9.300332   1.469216  -1.469216   
105  9.281742   1.464906  -1.464906   
106  9.260109   1.459978  -1.459978   
107  9.246099   1.456835  -1.456835   
108  9.227301   1.452677  -1.452677   
109  9.203751   1.447560  -1.447560   
110  9.189423   1.444496  -1.444496   
111  9.167553   1.439891  -1.439891   
112  9.147641   1.435770  -1.435770   
113  9.132920   1.432767  -1.432767   
114  9.109075   1.427978  -1.427978   
115  9.089157   1.424050  -1.424050   
116  9.075360   1.421365  -1.421365   
117  9.051101   1.416718  -1.416718   
118  9.029738   1.412699  -1.412699   
119  9.015705   1.410096  -1.410096   
120  8.991664   1.405704  -1.405704   
121  8.970464   1.401899  -1.401899   
122  8.951943   1.398626  -1.398626   
123  8.930195   1.394843  -1.394843   
124  8.909196   1.391249  -1.391249   
125  8.891121   1.442229  -1.442229   
126  8.868639   1.429089  -1.429089   
127  8.846301   1.432574  -1.432574   
128 0 0 0
129 0 0 0
130 0 0 0
131 0 0 0
132 0 0 0
133 0 0 0
134 0 0 0
135 0 0 0
136 0 0 0
137 0 0 0
138 0 0 0
139 0 0 0
140 0 0 0
141 0 0 0
142 0 0 0
143 0 0 0
144 0 0 0
145 0 0 0
146 0 0 0
147 0 0 0
148 0 0 0
149 0 0 0
150 0 0 0
151 0 0 0
152 0 0 0
153 0 0 0
154 0 0 0
155 0 0 0
156 0 0 0
157 0 0 0
158 0 0 0
159 0 0 0
160 0 0 0
161 0 0 0
162 0 0 0
163 0 0 0
164 0 0 0
165 0 0 0
166 0 0 0
167 0 0 0
168 0 0 0
169 0 0 0
170 0 0 0
171 0 0 0
172 0 0 0
173 0 0 0
174 0 0 0
175 0 0 0
176 0 0 0
177 0 0 0
178 0 0 0
179  7.821967   1.683656  -1.683656   
180  7.807153   1.689336  -1.689336   
181  7.792635   1.694991  -1.694991   
182  7.775344   1.701844  -1.701844   
183  7.760531   1.707819  -1.707819   
184  7.745171   1.714118  -1.714118   
185  7.726858   1.721769  -1.721769   
186  7.712045   1.728074  -1.728074   
187  7.697445   1.734392  -1.734392   
188  7.679584   1.742266  -1.742266   
189  7.664205   1.749176  -1.749176   
190  7.648560   1.756333  -1.756333   
191  7.630265   1.764870  -1.764870   
192  7.615435   1.771927  -1.771927   
193  7.600489   1.779165  -1.779165   
194  7.557604   1.800675  -1.800675   
195  7.502522   1.830021  -1.830021   
196  7.443144   1.864044  -1.864044   
197  7.385423   1.899763  -1.899763   
198  7.328804   1.937638  -1.937638   
199  7.271100   1.979491  -1.979491   
200  7.213489   2.024973  -2.024973   
201  7.156871   2.073752  -2.073752   
202  7.099075   2.128305  -2.128305   
203  7.041504   2.188129  -2.188129   
204  6.984805   2.253222  -2.253222   
205  6.915193   2.342992  -2.342992   
206  6.857154   2.427681  -2.427681   
207  6.799999   2.521558  -2.521558   
208  6.742382   2.628784  -2.628784   
209  6.683529   2.754111  -2.754111   
210  6.627211   2.892359  -2.892359   
211  6.568942   3.058854  -3.058854   
212  6.511653   3.251912  -3.251912   
213  6.453938   3.484379  -3.484379   
214  6.397348   3.761024  -3.761024   
215  6.338616   4.117376  -4.117376   
216  6.282477   4.550274  -4.550274   
217  6.224035   5.141543  -5.141543   
218  6.166764   5.936311  -5.936311   
219  6.110146   7.071788  -7.071788   
220  6.051669   8.925519  -8.925519   
221  5.993682   9.014820  -9.014820   
222  5.937000   9.328652  -9.328652   
223  5.879429   12.867496  -12.867496   
224  5.821922   12.867496  -12.867496   
225  5.764652   12.867496  -12.867496   
226  5.706988   12.867496  -12.867496   
