 0.100E+01 0.000E+00 0.999E+00 0.156E-03 0.994E+00 0.621E-03 0.986E+00 0.139E-02
 0.975E+00 0.245E-02 0.961E+00 0.379E-02 0.944E+00 0.539E-02 0.926E+00 0.722E-02
 0.905E+00 0.927E-02 0.883E+00 0.115E-01 0.859E+00 0.139E-01 0.835E+00 0.164E-01
 0.810E+00 0.191E-01 0.784E+00 0.218E-01 0.758E+00 0.246E-01 0.732E+00 0.273E-01
 0.706E+00 0.301E-01 0.680E+00 0.329E-01 0.654E+00 0.356E-01 0.629E+00 0.382E-01
 0.605E+00 0.408E-01 0.581E+00 0.433E-01 0.557E+00 0.456E-01 0.534E+00 0.479E-01
 0.512E+00 0.500E-01 0.491E+00 0.521E-01 0.470E+00 0.540E-01 0.450E+00 0.558E-01
 0.430E+00 0.575E-01 0.412E+00 0.590E-01 0.393E+00 0.604E-01 0.376E+00 0.618E-01
 0.359E+00 0.630E-01 0.343E+00 0.642E-01 0.328E+00 0.652E-01 0.313E+00 0.662E-01
 0.298E+00 0.670E-01 0.284E+00 0.678E-01 0.271E+00 0.685E-01 0.258E+00 0.691E-01
 0.246E+00 0.697E-01 0.234E+00 0.701E-01 0.223E+00 0.705E-01 0.212E+00 0.709E-01
 0.202E+00 0.711E-01 0.192E+00 0.713E-01 0.183E+00 0.714E-01 0.173E+00 0.715E-01
 0.165E+00 0.715E-01 0.156E+00 0.714E-01 0.148E+00 0.713E-01 0.140E+00 0.711E-01
 0.133E+00 0.709E-01 0.126E+00 0.706E-01 0.119E+00 0.703E-01 0.113E+00 0.699E-01
 0.106E+00 0.695E-01 0.100E+00 0.691E-01 0.946E-01 0.686E-01 0.891E-01 0.681E-01
 0.838E-01 0.676E-01 0.788E-01 0.670E-01 0.731E-01 0.665E-01 0.694E-01 0.659E-01
 0.650E-01 0.653E-01 0.608E-01 0.646E-01 0.567E-01 0.640E-01 0.529E-01 0.633E-01
 0.492E-01 0.626E-01 0.457E-01 0.620E-01 0.423E-01 0.612E-01 0.391E-01 0.605E-01
 0.361E-01 0.598E-01 0.332E-01 0.591E-01 0.304E-01 0.583E-01 0.277E-01 0.575E-01
 0.252E-01 0.568E-01 0.227E-01 0.560E-01 0.204E-01 0.552E-01 0.183E-01 0.544E-01
 0.162E-01 0.536E-01 0.142E-01 0.528E-01 0.123E-01 0.520E-01 0.105E-01 0.512E-01
 0.876E-02 0.504E-01 0.713E-02 0.496E-01 0.558E-02 0.488E-01 0.419E-02 0.480E-01
 0.281E-02 0.472E-01 0.151E-02 0.465E-01 0.273E-03 0.457E-01-0.894E-03 0.449E-01
-0.200E-02 0.441E-01-0.303E-02 0.434E-01-0.401E-02 0.426E-01-0.494E-02 0.418E-01
-0.577E-02 0.411E-01-0.656E-02 0.403E-01-0.731E-02 0.396E-01-0.800E-02 0.388E-01
-0.866E-02 0.381E-01-0.940E-02 0.374E-01-0.998E-02 0.367E-01-0.105E-01 0.359E-01
-0.110E-01 0.352E-01-0.115E-01 0.345E-01-0.101E-01 0.338E-01-0.123E-01 0.331E-01
-0.127E-01 0.325E-01-0.130E-01 0.318E-01-0.134E-01 0.311E-01-0.137E-01 0.305E-01
-0.140E-01 0.298E-01-0.142E-01 0.292E-01-0.144E-01 0.286E-01-0.144E-01 0.279E-01
-0.146E-01 0.273E-01-0.147E-01 0.267E-01-0.148E-01 0.261E-01-0.149E-01 0.255E-01
-0.150E-01 0.250E-01-0.150E-01 0.244E-01-0.150E-01 0.238E-01-0.151E-01 0.233E-01
-0.149E-01 0.227E-01-0.148E-01 0.222E-01-0.148E-01 0.217E-01-0.147E-01 0.212E-01
-0.147E-01 0.206E-01-0.135E-01 0.201E-01-0.146E-01 0.196E-01-0.145E-01 0.191E-01
-0.146E-01 0.187E-01-0.145E-01 0.182E-01-0.144E-01 0.177E-01-0.143E-01 0.173E-01
-0.142E-01 0.168E-01-0.140E-01 0.164E-01-0.139E-01 0.159E-01-0.141E-01 0.155E-01
-0.139E-01 0.151E-01-0.138E-01 0.147E-01-0.136E-01 0.143E-01-0.134E-01 0.139E-01
-0.132E-01 0.135E-01-0.129E-01 0.131E-01-0.127E-01 0.128E-01-0.124E-01 0.124E-01
-0.121E-01 0.121E-01-0.120E-01 0.117E-01-0.120E-01 0.114E-01-0.118E-01 0.110E-01
-0.115E-01 0.107E-01-0.131E-01 0.104E-01-0.130E-01 0.100E-01-0.105E-01 0.973E-02
-0.103E-01 0.942E-02-0.102E-01 0.912E-02-0.101E-01 0.883E-02-0.100E-01 0.854E-02
-0.991E-02 0.826E-02-0.982E-02 0.798E-02-0.972E-02 0.771E-02-0.963E-02 0.745E-02
-0.950E-02 0.720E-02-0.934E-02 0.695E-02-0.916E-02 0.670E-02-0.851E-02 0.646E-02
-0.831E-02 0.626E-02-0.810E-02 0.600E-02-0.817E-02 0.578E-02-0.787E-02 0.556E-02
-0.756E-02 0.535E-02-0.724E-02 0.514E-02-0.698E-02 0.494E-02-0.491E-02 0.474E-02
-0.641E-02 0.454E-02-0.316E-01 0.435E-02-0.593E-02 0.417E-02-0.574E-02 0.399E-02
-0.558E-02 0.381E-02-0.544E-02 0.364E-02-0.534E-02 0.347E-02-0.526E-02 0.331E-02
-0.520E-02 0.315E-02-0.516E-02 0.299E-02-0.512E-02 0.284E-02-0.508E-02 0.269E-02
-0.501E-02 0.255E-02-0.495E-02 0.241E-02-0.488E-02 0.228E-02-0.477E-02 0.215E-02
-0.464E-02 0.202E-02-0.448E-02 0.190E-02-0.429E-02 0.178E-02-0.401E-02 0.160E-02
-0.491E-02 0.155E-02-0.479E-02 0.144E-02-0.325E-02 0.133E-02-0.299E-02 0.123E-02
-0.274E-02 0.113E-02-0.251E-02 0.101E-02-0.230E-02 0.921E-03-0.212E-02 0.828E-03
-0.196E-02 0.737E-03-0.184E-02 0.650E-03-0.175E-02 0.586E-03-0.169E-02 0.505E-03
-0.166E-02 0.422E-03-0.164E-02 0.347E-03-0.164E-02 0.275E-03-0.166E-02 0.205E-03
-0.166E-02 0.138E-03-0.165E-02-0.407E-03-0.162E-02 0.123E-04-0.837E-03-0.469E-04
-0.151E-02-0.104E-03-0.107E-02-0.159E-03-0.592E-03-0.211E-03-0.763E-04-0.262E-03
 0.461E-03-0.311E-03 0.523E-02-0.358E-03-0.874E-03-0.403E-03-0.727E-03-0.300E-03
-0.545E-03-0.493E-03-0.367E-03-0.533E-03-0.198E-03-0.572E-03-0.444E-04-0.609E-03
 0.904E-04-0.645E-03 0.203E-03-0.679E-03 0.448E-02-0.711E-03 0.454E-02-0.742E-03
 0.458E-02-0.770E-03 0.680E-02-0.797E-03 0.633E-02-0.823E-03 0.580E-02-0.846E-03
 0.523E-02-0.869E-03 0.463E-02-0.889E-03 0.402E-02-0.906E-03 0.342E-02-0.924E-03
 0.285E-02-0.942E-03 0.232E-02-0.956E-03 0.185E-02-0.972E-03 0.144E-02-0.987E-03
 0.111E-02-0.100E-02 0.867E-03-0.101E-02 0.710E-03-0.103E-02 0.643E-03-0.103E-02
 0.666E-03-0.104E-02 0.779E-03-0.105E-02 0.978E-03-0.106E-02 0.126E-02-0.106E-02
 0.161E-02-0.137E-02 0.204E-02-0.108E-02 0.252E-02-0.108E-02 0.305E-02-0.108E-02
 0.362E-02-0.109E-02 0.422E-02-0.109E-02 0.486E-02-0.109E-02 0.547E-02-0.109E-02
 0.608E-02-0.109E-02 0.666E-02-0.108E-02 0.720E-02-0.108E-02 0.770E-02-0.108E-02
 0.814E-02-0.107E-02 0.851E-02-0.107E-02 0.881E-02-0.106E-02 0.903E-02-0.106E-02
 0.916E-02-0.105E-02 0.921E-02-0.104E-02 0.918E-02-0.103E-02 0.906E-02-0.102E-02
 0.887E-02-0.102E-02 0.865E-02-0.102E-02 0.577E-02-0.101E-02 0.794E-02-0.100E-02
 0.752E-02-0.996E-03 0.705E-02-0.989E-03 0.383E-02-0.982E-03 0.310E-02-0.974E-03
 0.552E-02-0.966E-03 0.500E-02-0.958E-03 0.449E-02-0.949E-03 0.400E-02-0.940E-03
 0.355E-02-0.930E-03 0.314E-02-0.513E-03 0.279E-02-0.526E-03 0.250E-02-0.897E-03
 0.535E-02-0.885E-03 0.537E-02-0.873E-03 0.539E-02-0.859E-03 0.540E-02-0.845E-03
 0.541E-02-0.830E-03 0.542E-02-0.817E-03 0.543E-02-0.810E-03 0.542E-02-0.799E-03
 0.542E-02-0.788E-03 0.355E-02-0.767E-03 0.394E-02-0.755E-03 0.432E-02-0.743E-03
 0.470E-02-0.732E-03 0.506E-02-0.720E-03 0.539E-02-0.710E-03 0.544E-02-0.699E-03
 0.546E-02-0.689E-03 0.547E-02-0.679E-03 0.548E-02-0.669E-03 0.549E-02-0.660E-03
 0.549E-02-0.650E-03 0.549E-02-0.639E-03 0.499E-02-0.629E-03 0.497E-02-0.618E-03
 0.496E-02-0.607E-03 0.495E-02-0.595E-03 0.495E-02-0.583E-03 0.496E-02-0.570E-03
 0.497E-02-0.557E-03 0.499E-02-0.544E-03 0.501E-02-0.530E-03-0.179E-01-0.562E-03
-0.160E-01-0.478E-03 0.606E-02-0.481E-03 0.605E-02-0.479E-03 0.603E-02-0.466E-03
 0.502E-02-0.454E-03 0.497E-02-0.405E-03 0.492E-02-0.389E-03 0.486E-02-0.422E-03
 0.471E-02-0.412E-03-0.425E-02-0.403E-03 0.456E-02-0.394E-03 0.448E-02-0.386E-03
 0.441E-02-0.378E-03 0.435E-02-0.371E-03 0.430E-02-0.364E-03 0.426E-02-0.356E-03
 0.423E-02-0.352E-03 0.422E-02-0.347E-03 0.423E-02-0.342E-03 0.425E-02-0.326E-03
 0.430E-02-0.318E-03 0.436E-02-0.310E-03 0.324E-02-0.301E-03 0.323E-02-0.295E-03
 0.326E-02-0.291E-03 0.475E-02-0.285E-03 0.488E-02-0.280E-03 0.500E-02-0.274E-03
 0.512E-02-0.171E-02 0.523E-02-0.238E-03 0.532E-02-0.593E-03 0.540E-02-0.647E-03
 0.547E-02-0.212E-03 0.551E-02-0.205E-03 0.552E-02-0.198E-03 0.149E-02-0.191E-03
 0.146E-02-0.185E-03 0.141E-02-0.180E-03 0.134E-02-0.175E-03 0.126E-02-0.171E-03
 0.115E-02-0.167E-03 0.104E-02-0.163E-03 0.922E-03-0.160E-03 0.147E-02-0.157E-03
 0.148E-02-0.153E-03 0.148E-02-0.150E-03 0.145E-02-0.146E-03 0.321E-03-0.142E-03
 0.217E-03-0.137E-03 0.122E-03-0.127E-03 0.369E-04-0.117E-03 0.509E-03-0.106E-03
 0.517E-03-0.945E-04 0.523E-03-0.109E-03 0.526E-03-0.103E-03 0.380E-02-0.965E-04
 0.329E-02-0.900E-04 0.276E-02-0.837E-04 0.222E-02-0.776E-04-0.308E-03-0.720E-04
-0.316E-03-0.668E-04 0.278E-02-0.623E-04 0.280E-02-0.476E-04-0.271E-03-0.403E-04
-0.778E-04-0.527E-04-0.951E-06 0.599E-03 0.890E-04 0.577E-03 0.651E-04 0.545E-03
 0.647E-04-0.492E-04 0.752E-04-0.495E-04 0.956E-04 0.100E-02 0.124E-03-0.506E-04
 0.849E-03-0.512E-04 0.991E-03-0.516E-04 0.436E-03-0.517E-04 0.499E-03-0.637E-04
 0.561E-03-0.696E-04 0.619E-03 0.619E-02 0.669E-03-0.791E-04 0.706E-03-0.155E-04
