Beam Energy [GeV],-t [GeV**2],-(t-tmin) [GeV**2],ds/dt
0.56700000E+01,0.31140112E+01,0.00000000E+00,0.12310285E-03
0.56700000E+01,0.31203786E+01,0.63673821E-02,0.12165568E-03
0.56700000E+01,0.31304208E+01,0.16409552E-01,0.12020972E-03
0.56700000E+01,0.31419499E+01,0.27938636E-01,0.11809354E-03
0.56700000E+01,0.31523350E+01,0.38323797E-01,0.11660087E-03
0.56700000E+01,0.31590931E+01,0.45081812E-01,0.11558366E-03
0.56700000E+01,0.31762490E+01,0.62237717E-01,0.11273649E-03
0.57000000E+01,0.28295380E+01,0.00000000E+00,0.48970709E-03
0.57000000E+01,0.28337396E+01,0.42015686E-02,0.48536711E-03
0.57000000E+01,0.28403127E+01,0.10774638E-01,0.47695831E-03
0.57000000E+01,0.28477768E+01,0.18238775E-01,0.46853537E-03
0.57000000E+01,0.28544233E+01,0.24885300E-01,0.46005606E-03
0.57000000E+01,0.28587084E+01,0.29170399E-01,0.45483233E-03
0.57000000E+01,0.28694411E+01,0.39903097E-01,0.44250766E-03
0.57000000E+01,0.29090583E+01,0.79520327E-01,0.39532705E-03
0.57000000E+01,0.29736550E+01,0.14411696E+00,0.32617828E-03
0.57000000E+01,0.30517731E+01,0.22223512E+00,0.25993937E-03
0.57000000E+01,0.31269093E+01,0.29737130E+00,0.20999176E-03
0.60000000E+01,0.18452632E+01,0.00000000E+00,0.25308409E-02
0.60000000E+01,0.18475015E+01,0.22382910E-02,0.25238472E-02
0.60000000E+01,0.18509897E+01,0.57264695E-02,0.24866635E-02
0.60000000E+01,0.18549307E+01,0.96674839E-02,0.24420618E-02
0.60000000E+01,0.18584220E+01,0.13158775E-01,0.24357748E-02
0.60000000E+01,0.18606638E+01,0.15400605E-01,0.24319787E-02
0.60000000E+01,0.18662475E+01,0.20984303E-01,0.23891178E-02
0.60000000E+01,0.18864653E+01,0.41202025E-01,0.22531297E-02
0.60000000E+01,0.19180629E+01,0.72799675E-01,0.20870652E-02
0.60000000E+01,0.19538989E+01,0.10863564E+00,0.18671578E-02
0.60000000E+01,0.19857706E+01,0.14050741E+00,0.17237265E-02
0.60000000E+01,0.20063002E+01,0.16103693E+00,0.16177605E-02
0.60000000E+01,0.20628147E+01,0.21755150E+00,0.14161710E-02
0.60000000E+01,0.22732539E+01,0.42799070E+00,0.86395375E-03
0.60000000E+01,0.26170363E+01,0.77177306E+00,0.40458299E-03
0.60000000E+01,0.30398837E+01,0.11946204E+01,0.18042740E-03
0.70000000E+01,0.94604719E+00,0.00000000E+00,0.94430413E-02
0.70000000E+01,0.94818760E+00,0.21404081E-02,0.94466753E-02
