q(GeV),W(GeV),-t(GeV^2),ds/dt(nb/GeV^2),theta(degrees),ds/dOmega(nb/sr.)
0.83000002E+01 ,0.40570781E+01 ,0.16417864E+01 ,0.17157471E+00 ,0.42394092E+01 ,0.18589707E-01
0.83000002E+01 ,0.40570781E+01 ,0.16497189E+01 ,0.16993585E+00 ,0.97312125E+01 ,0.18412140E-01
0.83000002E+01 ,0.40570781E+01 ,0.16639124E+01 ,0.16697404E+00 ,0.15255446E+02 ,0.18091235E-01
0.83000002E+01 ,0.40570781E+01 ,0.16842376E+01 ,0.16285923E+00 ,0.20787006E+02 ,0.17645405E-01
0.83000002E+01 ,0.40570781E+01 ,0.17105050E+01 ,0.15783374E+00 ,0.26321342E+02 ,0.17100905E-01
0.83000002E+01 ,0.40570781E+01 ,0.17424694E+01 ,0.15196119E+00 ,0.31857019E+02 ,0.16464629E-01
0.83000002E+01 ,0.40570781E+01 ,0.17798326E+01 ,0.14558063E+00 ,0.37393442E+02 ,0.15773310E-01
0.83000002E+01 ,0.40570781E+01 ,0.18222456E+01 ,0.13868728E+00 ,0.42930321E+02 ,0.15026433E-01
0.83000002E+01 ,0.40570781E+01 ,0.18693124E+01 ,0.13166820E+00 ,0.48467497E+02 ,0.14265932E-01
0.83000002E+01 ,0.40570781E+01 ,0.19205936E+01 ,0.12453499E+00 ,0.54004875E+02 ,0.13493066E-01
0.83000002E+01 ,0.40570781E+01 ,0.19756105E+01 ,0.11745978E+00 ,0.59542395E+02 ,0.12726484E-01
0.83000002E+01 ,0.40570781E+01 ,0.20338492E+01 ,0.11060935E+00 ,0.65080015E+02 ,0.11984257E-01
0.83000002E+01 ,0.40570781E+01 ,0.20947662E+01 ,0.10408960E+00 ,0.70617708E+02 ,0.11277857E-01
0.83000002E+01 ,0.40570781E+01 ,0.21577925E+01 ,0.97782790E-01 ,0.76155451E+02 ,0.10594530E-01
0.83000002E+01 ,0.40570781E+01 ,0.22223398E+01 ,0.91929126E-01 ,0.81693227E+02 ,0.99602992E-02
0.83000002E+01 ,0.40570781E+01 ,0.22878054E+01 ,0.86438927E-01 ,0.87231022E+02 ,0.93654494E-02
0.83000002E+01 ,0.40570781E+01 ,0.23535780E+01 ,0.81383989E-01 ,0.92768823E+02 ,0.88177591E-02
0.83000002E+01 ,0.40570781E+01 ,0.24190436E+01 ,0.76769667E-01 ,0.98306618E+02 ,0.83178084E-02
0.83000002E+01 ,0.40570781E+01 ,0.24835909E+01 ,0.72523141E-01 ,0.10384439E+03 ,0.78577075E-02
